1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Country Name,Country Code,Indicator Name,Indicator Code,Rank 2012,Rank 2016,Rank 2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba,ABW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,27.3,27.3,27.7,27.7,27.3,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.87,Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,9.5,15.5,15.5,15.5,15.5,15.5,15.5,15,15,15,15,37.3,38.6,38.6,38.2,34.1,34.1,36.8,36.8,36.8,38.2,30.5,30,Angola,AGO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,5.2,5.2,5.7,5.7,5.7,6.4,7.1,7.1,7.1,7.1,16.4,16.4,15.7,15.7,17.9,20,20.7,22.9,27.9,27.9,29.51,Albania,ALB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,7.1,7.1,7.1,14.3,14.3,14.3,14.3,28.6,28.6,28.6,25,35.7,35.7,50,50,50,50,39.3,32.1,32.1,32.1,50,Andorra,AND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.891439206,,,,,,,3.757834974,3.474235372,3.623432089,3.768103117,4.610597637,6.132351922,6.043917526,6.702670623,7.041782323,9.357819225,9.762156347,9.810925173,9.91258881,11.92392572,11.3352657,14.87201835,17.49244457,17.79396971,18.77915119,18.85264985,18.8210344,19.01797882,18.00194473,Arab World,ARB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,5,22.5,22.5,22.5,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5,22.5,United Arab Emirates,ARE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,27.6,27.6,,26.5,,30.7,30.7,33.7,36.2,35,40,40,38.5,38.5,37.4,37.4,,36.6,,35.8,38.9,38.9,38.91,Argentina,ARG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,,,6.3,6.3,3.1,3.1,3.1,3.1,4.6,5.3,5.3,5.3,9.2,8.4,9.2,9.2,8.4,10.7,10.7,10.7,10.7,10.7,18.1,18.1,24.24,Armenia,ARM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Samoa,ASM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,
